Class,a,CLASS1358,CLASS2140,CLASS2276,CLASS2383,CLASS2425,CLASS2492,CLASS2502,CLASS2549,CLASS2552,CLASS2571,CLASS2572,CLASS2573,CLASS2575,CLASS2581,CLASS2588,CLASS2593,CLASS2596,CLASS2597,CLASS2599,CLASS2600,CLASS2602,CLASS2606,CLASS2607,CLASS2608,CLASS2610,CLASS2611,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.045209903121636,0,0,0,0
VB,0,0,0,0,0,3.953488372093023,0.4329004329004329,0,0.997506234413965,0.7556675062972292,0,2.508361204013378,0.9732360097323601,0,0.9779951100244498,3.065134099616858,1.5965166908563133,4.901960784313726,0,9.044585987261145,3.5555555555555554,0.21299254526091588,2.4079320113314444,0.6015037593984963,7.212205270457697,0.681044267877412,1.7336485421591805,0.8663366336633664,0.3616636528028933,2.0454545454545454,7.475317348377997,41.3716814159292,4.1707080504364695,4.7407407407407405,41.726618705035975,4.628632938643703,0.7662835249042145,2.41635687732342,2.4516129032258065,0
VBD,0,0,94.84536082474226,0,0,1.1627906976744187,1.2987012987012987,0.3294892915980231,1.7456359102244388,1.0075566750629723,0.2688172043010753,5.016722408026756,0.9732360097323601,3.485254691689008,16.625916870415647,3.6398467432950192,1.4513788098693758,3.1862745098039214,2.484472049689441,2.038216560509554,4.666666666666667,2.6624068157614484,7.507082152974505,18.345864661654137,25.104022191400833,3.859250851305335,4.25531914893617,1.608910891089109,1.0849909584086799,16.25,5.077574047954866,1.7699115044247788,4.558680892337536,15.851851851851853,10.359712230215827,2.045209903121636,58.04597701149425,1.5799256505576207,21.41935483870968,0.24271844660194172
VBG,0,0.2425712553062462,2.5773195876288657,0.3508771929824561,0.5181347150259068,0,1.5151515151515151,0,0,1.7632241813602016,0.5376344086021506,4.51505016722408,1.70316301703163,2.1447721179624666,4.156479217603912,3.4482758620689653,4.934687953555878,1.4705882352941175,9.316770186335404,1.6560509554140128,7.777777777777778,2.2364217252396164,3.2577903682719547,8.721804511278195,5.825242718446602,5.448354143019296,2.048857368006304,3.7128712871287126,0.3616636528028933,5.340909090909091,2.2566995768688294,1.991150442477876,2.521823472356935,9.777777777777779,3.597122302158273,3.013993541442411,1.532567049808429,1.7657992565055762,1.806451612903226,0
VBN,0,0,0.7731958762886598,0,0,0.9302325581395349,0.8658008658008658,0,0,0,0,3.177257525083612,0.48661800486618007,1.3404825737265416,0.7334963325183375,0.5747126436781609,4.644412191582003,2.2058823529411766,0,1.1464968152866242,2.2222222222222223,2.6624068157614484,2.4079320113314444,6.7669172932330826,3.0513176144244105,5.2213393870601585,0.15760441292356187,0.6188118811881188,0.3616636528028933,0.6818181818181818,1.4104372355430184,2.5442477876106198,2.7158098933074686,1.6296296296296295,1.1510791366906474,0.2152852529601722,3.1928480204342273,3.62453531598513,2.193548387096774,0
VBP,0,0,0,0,0,0,0,3.6243822075782535,2.493765586034913,0,0.2688172043010753,0.8361204013377926,0.48661800486618007,15.281501340482572,0.4889975550122249,0,0.7256894049346879,2.696078431372549,0,0,0.4444444444444444,0,0.28328611898017,0.9022556390977444,1.8030513176144243,0.22701475595913734,0,0.3712871287128713,0.3616636528028933,0.6818181818181818,0,12.057522123893804,0.5819592628516004,1.8518518518518516,1.0071942446043165,0,0.1277139208173691,1.3940520446096654,15.354838709677418,0
VBZ,0,0,0,0,0.2590673575129534,2.3255813953488373,0,0,0,0,2.0161290322580645,2.508361204013378,0.7299270072992701,0,27.139364303178482,0,1.3062409288824384,2.450980392156863,0.4140786749482402,0.6369426751592357,0,1.4909478168264112,0,1.3533834586466165,0.27739251040221913,0.681044267877412,0.15760441292356187,0.24752475247524752,0,0.45454545454545453,0.4231311706629055,0.5530973451327433,0.19398642095053348,0.5185185185185185,0.28776978417266186,0,0,1.1152416356877324,1.806451612903226,0
WDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.940110323089047,0,0,0,0,0.4424778761061947,0,0,0,0,0,0,0,0
WP,0,0,0,0,0,0,0,0,33.66583541147132,0,0,0,0,0,0,0,0,0,12.629399585921325,0,0,0,0,0,0,0,0,0,0,0,0.2820874471086037,0,0,0,0,0,0,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4511278195488722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.049019607843137,0,0,0,0,0,0,0,0,0,0,14.466546112115733,0,9.732016925246826,0,0,0,0,0.2152852529601722,0,0,0,1.6990291262135921

Focus,0,99.45427014153373,93.5717874292222,94.14356142069077,93.51578055844584,84.45978878803845,81.9443471696361,93.25172728025376,34.70050802254829,82.59589219571605,86.36168455746025,29.171118782989137,87.86225382904523,31.947161848208218,36.49665206467316,29.80521733695597,37.54447311298346,21.32061808688524,28.53940454335161,66.41848799097475,39.42851008353483,45.14320523602836,41.01091627931536,31.154541579374484,26.960639875577368,35.08253358735344,73.31012867913132,40.97742186898921,79.73088292219379,30.575045697782492,52.477309813438666,41.36856581267793,33.46719068524292,19.547487112172483,43.04014581511643,33.55222566756368,57.369964538095395,39.25422902790273,28.27438873647468,92.53002126616536

Adjective,0,0,0,0,0,0.9302325581395349,0,0,0,0,0.2688172043010753,10.702341137123746,1.9464720194647203,12.868632707774799,2.2004889975550124,0.7662835249042145,29.027576197387518,2.941176470588235,0.8281573498964804,0,30.0,14.37699680511182,6.657223796033994,1.5037593984962407,11.927877947295423,19.182746878547103,0,20.2970297029703,0.7233273056057866,9.43181818181818,0.5641748942172073,3.761061946902655,14.645974781765275,8.518518518518519,0.8633093525179856,4.41334768568353,0.2554278416347382,19.330855018587357,1.4193548387096775,0
Adverb,0,0,0,3.1578947368421053,0,1.627906976744186,6.277056277056277,0,3.4912718204488775,6.045340050377834,0.4032258064516129,26.254180602006688,0,3.753351206434316,5.134474327628362,3.8314176245210727,13.642960812772134,30.147058823529413,9.109730848861282,1.1464968152866242,3.5555555555555554,2.6624068157614484,4.81586402266289,22.706766917293233,4.715672676837725,4.426787741203178,2.52167060677699,19.43069306930693,14.466546112115733,13.522727272727272,11.142454160789844,6.1946902654867255,2.424830261881668,8.296296296296296,22.302158273381295,31.32400430570506,3.9591315453384417,8.085501858736059,8.903225806451614,2.0631067961165046
Conjunction,0,0,0,0,0,0,0,0,0.997506234413965,0,0,0,0,0,0,0,0,0,2.2774327122153206,0,0,0,0,0,0,0,74.94089834515366,0,0,0,0,0,0,0,0,18.406889128094726,0,0,0,0
Determiner,100.0,99.63614311704063,0,0,0,0,0,0,0,0,0,0,0,6.434316353887399,0,25.862068965517242,0,0,3.1055900621118013,0,0,0,0,2.2556390977443606,0,0,3.940110323089047,0,0,0,0,0.4424778761061947,0,12.814814814814815,0,0.9687836383207751,17.496807151979567,0,0,0
