Class,the,and,CLASS63,CLASS1269,CLASS2232,CLASS2380,CLASS2479,CLASS2521,CLASS2537,CLASS2562,CLASS2563,CLASS2567,CLASS2571,CLASS2573,CLASS2575,CLASS2583,CLASS2585,CLASS2589,CLASS2590,CLASS2591,CLASS2598,CLASS2600,CLASS2602,CLASS2604,CLASS2605,CLASS2606,CLASS2608,CLASS2610,CLASS2612,CLASS2615,CLASS2616,CLASS2617,CLASS2618,CLASS2620,CLASS2621,CLASS2622,CLASS2624,CLASS2625,CLASS2626,CLASS2627
WP$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4431314623338257,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.991228070175438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.923920994879298,0,0,0,0,0.2304147465437788,0,0,0

Focus,100.0,100.0,100.0,99.20991120338721,95.05965073245409,89.2575533548733,100.0,42.10746356895639,52.290081344985516,96.70786039149645,58.48297783788454,35.27624348667246,66.36270342201674,44.01582296443479,50.79639939604299,70.54568635368481,100.0,33.258022363125136,56.54970108616097,55.686250266621705,55.12367078464248,68.95572874465722,82.99344302318023,70.19559326930484,54.33862821879438,51.020959732264025,47.41151237872342,75.54728015915857,72.28267384727226,95.96476243149618,61.91367290228998,43.322694038826164,69.55425560313056,50.55677395118312,73.11799857057082,50.547601443113386,47.15323705584384,55.17706271821271,61.94237535310256,67.34563846591581

Adjective,0,0,0,0,0,0,0,6.0924369747899165,3.2327586206896552,0,2.6086956521739126,14.831460674157304,12.571428571428571,2.9585798816568047,0.43859649122807015,23.065693430656932,0,9.565217391304348,0.33726812816188867,12.44635193133047,1.405152224824356,6.398996235884567,0.24067388688327318,6.593406593406593,1.2030075187969926,14.833005893909625,7.7834179357022,0,66.66666666666667,0,0.5628517823639775,0.43891733723482085,3.902439024390244,14.32791728212703,0,23.146473779385172,5.0691244239631335,2.0618556701030926,6.415094339622642,1.008827238335435
Adverb,0,0,0,0,4.935064935064935,0,0,35.714285714285715,1.9396551724137931,0.576923076923077,1.4492753623188406,2.471910112359551,10.0,0.7889546351084813,13.37719298245614,1.313868613138686,0,7.536231884057972,1.1804384485666104,2.0028612303290414,0.468384074941452,1.0037641154328731,0.36101083032490977,2.564102564102564,6.917293233082707,1.768172888015717,32.82571912013537,0,24.958949096880133,0,0.8442776735459663,36.356986100950984,1.4634146341463417,45.347119645494836,0,0,20.161290322580644,12.15022091310751,15.320754716981133,3.278688524590164
Conjunction,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.8771929824561403,0,0,0,0,0,0,0,1.3237063778580023,0,0,0,0,0,0,0,7.317073170731707,12.509144111192391,0,0,0,0,0,0,0,0
Determiner,100.0,0,0,0,0,0,100.0,0,0,0,0,0,64.85714285714286,0,19.956140350877195,0,0,3.768115942028986,0,0,46.37002341920375,0,0,0,0,2.259332023575639,0,1.1378002528445006,0,0,0,0.8046817849305048,0,0.5908419497784343,0,0,0,0,4.90566037735849,0
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,3.3707865168539324,0,0,0,0,0,0,5.733558178752108,0,0,0,0,0,41.65413533834587,0,0,0,0,0,0,0,9.59349593495935,0,0,0,30.184331797235025,5.743740795287187,5.735849056603773,0
Noun,0,0,0,0,0,97.51131221719459,0,28.361344537815125,20.25862068965517,0,87.82608695652173,15.505617977528091,8.285714285714285,48.91518737672584,57.675438596491226,70.65693430656934,0,33.913043478260875,4.5531197301854975,70.52932761087267,3.044496487119438,86.4491844416562,2.888086642599278,78.63247863247864,10.676691729323307,73.57563850687623,6.937394247038917,0,4.926108374384236,1.6731016731016732,10.694183864915573,4.6817849305047545,2.3577235772357725,11.964549483013295,0,69.71066907775769,3.80184331797235,0.8836524300441826,1.8867924528301887,7.818411097099622
Other,0,0,0,0,0,2.0361990950226243,0,9.663865546218487,0,0,0,0,0,0,3.070175438596491,0,0,2.608695652173913,0,0,0,0,0,3.5409035409035408,0,0.19646365422396855,0,13.147914032869783,0,0,0.5628517823639775,0,0,0,0,0,0.3456221198156682,0,0,0
Preposition,0,0,99.72677595628416,99.22928709055877,0,0,0,0,0,0,0,0,0,0,0.43859649122807015,0,100.0,0,0,0.7153075822603719,31.147540983606557,0,9.265944645006016,0,35.338345864661655,0.3929273084479371,0,0,0,0,12.007504690431519,32.04096561814191,68.78048780487805,0,34.69135802469136,0,0,0.8100147275405009,0,0
Pronoun,0,0,0,0,95.06493506493506,0,0,0,22.844827586206897,0,0,1.7977528089887642,0,29.191321499013807,0,0,0,1.1594202898550725,0,0,0,0,0,0,0,0,0,83.81795195954489,0,56.113256113256114,0,10.02194586686174,0,0.4431314623338257,65.30864197530865,0.81374321880651,0,0,64.52830188679246,0
Verb,0,0,0,0.7707129094412332,0,0.4524886877828055,0,18.067226890756302,49.35344827586208,94.61538461538461,4.3478260869565215,57.52808988764045,3.1428571428571432,15.384615384615385,2.4122807017543857,2.9197080291970803,0,34.492753623188406,83.97976391231029,7.010014306151645,17.56440281030445,3.5131744040150563,75.45126353790614,5.616605616605616,3.9097744360902253,3.2416502946954813,51.26903553299492,0.37926675094816686,0.49261083743842365,0.6435006435006435,67.07317073170731,1.9019751280175567,13.252032520325205,24.81536189069424,0,1.4466546112115732,19.12442396313364,75.77319587628865,0.4528301886792453,85.49810844892811

Focus,100.0,100.0,100.0,99.1466109405063,94.64375746751973,97.25571598789531,100.0,42.7765895689715,53.213705140563896,99.32842548112978,90.42701770778294,59.21464743927106,63.67162734152867,54.69076275597895,58.3219437374578,72.78617256658815,100.0,45.94578479776946,86.58432486818177,74.76557661174793,52.07173921707815,87.81737186884409,83.14697627189769,79.43348888716989,49.233550996439014,75.27111747797112,56.83062996373172,84.48062838377159,69.97454149362324,95.63925238747085,65.86024279264426,43.441495625069884,67.3902195903604,49.202392430403414,70.46440423880198,74.28542171810687,44.519067969090045,76.34481166428819,62.97460083645042,86.60083776391386

