Class,to,you,CLASS75,CLASS2386,CLASS2407,CLASS2473,CLASS2500,CLASS2550,CLASS2561,CLASS2570,CLASS2572,CLASS2576,CLASS2581,CLASS2583,CLASS2585,CLASS2591,CLASS2595,CLASS2596,CLASS2597,CLASS2598,CLASS2599,CLASS2600,CLASS2601,CLASS2602,CLASS2603,CLASS2604,CLASS2608,CLASS2611,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2619,CLASS2620,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,,Focus
Focus,100.0,100.0,99.76551261279947,89.09222582107195,99.26239805187285,100.0,98.15541116210287,64.12417431259776,61.80743739676645,76.1727902626394,81.21799410628338,54.043082948645804,97.00969653363065,57.050930941354714,56.94201396818086,30.50505772989347,48.98553961567028,99.05551414538138,53.57897691082448,73.91995635053591,65.77719974717607,52.30090133615083,46.93203364622444,73.28744113881972,89.54696060213445,82.88246838200375,84.57780412303342,43.80092522694539,64.43854255195338,58.951873487346994,94.46388117353705,49.919787784634245,77.38458372869371,34.35591945184749,73.66738401911205,64.5112617098012,34.66527967773282,64.06119123965503,61.61913073942562,52.48193428108924

Adjective,0,0,0,0,0,0,0.3738317757009346,3.6297640653357535,7.343412526997841,2.569593147751606,8.955223880597014,15.32846715328467,0,3.5422343324250685,0.43956043956043955,6.0037523452157595,13.876146788990825,0.4608294930875576,0,0,4.102564102564102,12.595837897042715,14.33628318584071,0.9615384615384616,0,0,0,5.147058823529411,6.467661691542288,0.6564551422319475,0.36082474226804123,10.616113744075829,0,8.034433285509325,1.8709073900841908,6.586021505376344,6.381039197812216,58.25892857142858,0.33140016570008285,18.357487922705314,,29.043705832227012
Adverb,0,0,0,0,0,0,0,2.35934664246824,1.2958963282937366,0.8565310492505354,1.8656716417910446,2.4330900243309004,0,2.452316076294278,45.494505494505496,9.75609756097561,44.8394495412844,0,0.6134969325153374,0.2766251728907331,0.5128205128205128,12.157721796276013,26.902654867256636,0.8413461538461539,5.681818181818182,0.3676470588235294,0,14.950980392156861,2.8192371475953566,2.8446389496717726,0,43.22274881516588,0,15.208034433285508,0,1.747311827956989,4.466727438468551,17.299107142857142,21.87241093620547,0.13802622498274672,,28.23627183715579
Conjunction,0,0,99.77142857142857,0,0,0,0,0,0,0,0,0,0,0,37.582417582417584,0,0,0,0,0,0,0,0,0,0,1.3480392156862746,0,0.49019607843137253,0,0,4.020618556701031,0,0,0,0,0,0,0,0,0,,73.73537864073816
Determiner,0,0,0,0,0,100.0,0,0,0,0,0,0,1.8337408312958436,0,0,5.253283302063791,0,0,0,6.915629322268327,0,0.43811610076670315,0,0,0,0,1.278409090909091,11.151960784313726,0,0,94.3298969072165,0,0,0,0,0,20.3281677301732,0,0.9113504556752278,0,,56.11820856251839
GrammarOther,0,0,0,0,0,0,0,0,25.48596112311015,0,0,0,0,0,0,0,8.486238532110093,0,6.952965235173824,10.511756569847856,0,0,0,0,59.54545454545455,0,0,0,0,0,0,0,10.478128179043743,2.1520803443328553,7.296538821328344,0,9.115770282588878,0,0,0,,46.79776566125839
Noun,0,0,0.2285714285714286,97.4712643678161,0,0,1.1214953271028039,77.8584392014519,58.09935205183585,2.9978586723768736,0.7462686567164178,78.10218978102189,1.1002444987775062,13.079019073569482,3.2967032967032965,27.392120075046904,18.57798165137615,0.4608294930875576,11.247443762781186,0.6915629322268326,85.64102564102564,57.83132530120482,4.778761061946902,10.697115384615383,0,1.9607843137254903,0,33.94607843137255,72.30514096185738,15.645514223194748,0.6185567010309279,4.454976303317535,6.81586978636826,9.038737446197992,0,82.25806451612904,23.154056517775754,18.191964285714285,4.888152444076222,77.29468599033818,,21.696203850484967
Other,0,0,0,2.0689655172413794,0,0,0,7.80399274047187,0,0,0,0,0,0,0,1.6885553470919326,0.573394495412844,0,0,0,0.7692307692307693,0,0,0,0,0.7352941176470588,14.772727272727273,1.715686274509804,4.809286898839138,0,0,0,0,0,0,0,0,0,0,0,,48.78916277010708
Preposition,100.0,0,0,0,98.9247311827957,0,0,0,0,8.779443254817988,79.47761194029852,0,0,0,5.274725274725275,0,0.45871559633027525,99.07834101382488,0,0,0,0,0,1.6826923076923077,0,9.436274509803921,0,0.24509803921568626,0,0,0,0,77.11088504577823,0,0.6548175865294669,0,0,0,58.57497928748965,0,,36.68147387216592
Pronoun,0,100.0,0,0,0,0,81.49532710280374,0,0,0,0,0,97.06601466992664,28.882833787465938,0,0.7504690431519699,0,0,0,81.60442600276625,0,0.32858707557502737,0,0,0,0,82.24431818181817,0,0,0,0,0.8530805687203791,0.8138351983723295,0,0,0,21.1485870556062,0,11.350455675227836,0,,37.12770546540547
Verb,0,0,0,0.45977011494252873,0.7168458781362007,0,0,5.807622504537205,4.1036717062634995,83.29764453961457,6.902985074626866,0.48661800486618007,0,51.49863760217983,5.714285714285714,45.028142589118204,10.550458715596331,0,75.66462167689163,0,2.051282051282051,13.25301204819277,51.85840707964602,84.61538461538463,1.3636363636363635,77.45098039215686,0,1.715686274509804,5.140961857379769,78.00875273522975,0.4639175257731959,39.526066350710906,4.781281790437436,60.97560975609755,86.9971936389149,5.779569892473119,12.306289881494987,2.5669642857142856,0.33140016570008285,2.0013802622498273,,23.37009410576822

Focus,100.0,100.0,99.74629040209761,97.21190704578679,99.20321595942008,100.0,98.00745541627447,78.18422934677844,61.606581712784624,83.3169486097869,79.73311491790894,80.48846021356401,96.76078376477314,54.937788350203384,54.926597230639004,49.426810590692014,45.73071648789326,98.9777886738859,78.95262100390647,80.40287501163691,91.23412597075291,58.695127839503684,55.78892235039999,84.70097029398029,88.64971913647499,83.73856100986572,83.1886433643414,49.28536988246154,77.15245821538664,79.68889454942327,93.99704395242343,54.368015718080834,75.46786532406507,62.399170241932,89.03757197899944,84.13972912704695,29.84729827611477,60.9650663421195,59.70643510183903,78.9089186393905

