Class,to,of,CLASS2388,CLASS2482,CLASS2526,CLASS2529,CLASS2579,CLASS2581,CLASS2583,CLASS2594,CLASS2597,CLASS2599,CLASS2603,CLASS2604,CLASS2606,CLASS2608,CLASS2609,CLASS2611,CLASS2612,CLASS2614,CLASS2615,CLASS2617,CLASS2619,CLASS2620,CLASS2621,CLASS2622,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2629,CLASS2630,CLASS2631,CLASS2632,,Focus
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.055350553505534,0,0,0,0,0,0,0,0,0.17605633802816903,0,0,0,0,0,0,0,0,0,,98.81688118032469

Focus,100.0,100.0,89.63439876042915,100.0,97.60733091980467,100.0,44.74404103047351,48.733969820302775,80.73492186836233,58.4323145872179,53.38028964580099,70.30520544896059,54.54574464128712,83.52080719488939,53.559109171811635,59.18387484000576,37.28817228725745,88.2404527858316,98.51012134123671,84.20003177896054,27.852217764366376,91.14431579949648,97.58380185023088,48.716688404976,64.48584947282254,45.29313298529634,35.7009963517842,71.61068199244922,47.30089375219678,65.22189614094845,66.13695518819813,91.40964806600388,83.3655599723236,75.96322411802221,53.45544639448776

Adjective,0,0,0,0,0,0,2.8169014084507045,1.5957446808510638,0,6.4935064935064934,18.40277777777778,4.370629370629371,49.240780911062906,5.300353356890459,13.508771929824562,5.567685589519652,1.3284132841328413,85.52631578947368,0,0,5.856515373352855,1.0510510510510511,0,14.345991561181435,14.497716894977168,4.31338028169014,6.83297180043384,1.3685239491691104,10.27944111776447,1.7751479289940828,0.25125628140703515,0,0,0,7.1879553181155895,,36.978923434790104
Adverb,0,0,0,0,0,0,1.408450704225352,4.654255319148936,21.62962962962963,2.813852813852814,47.91666666666667,2.7972027972027975,0,0.9422850412249705,1.2280701754385965,1.2008733624454149,37.7859778597786,0,0,0,12.445095168374817,0.3003003003003003,0.42796005706134094,43.9873417721519,1.2557077625570776,16.02112676056338,4.3383947939262475,0.7820136852394917,39.52095808383234,1.6568047337278107,0.8793969849246231,0.30864197530864196,0,0.18198362147406735,0.8256435162700341,,33.215780831908354
Conjunction,0,0,0,0,0,99.79013641133263,0,0,0,0,0,0,0,0,0,0,12.915129151291513,0,0,0,0,0,0,0,0,0,1.193058568329718,0,0,0,0,0,0,0,0,,87.98429938732183
Determiner,0,0,0,100.0,0,0,0,1.7287234042553192,0,4.978354978354979,0.6944444444444444,0,0,0,0,0,0.8118081180811807,0,98.54604200323102,1.272984441301273,2.1961932650073206,0,0,9.599156118143458,0,0,24.18655097613883,0,0,0,0,0,0,5.914467697907188,0,,55.47511387655148
GrammarOther,0,0,0,0,0,0,0,1.9946808510638299,0,0,0,0,0,0,20.701754385964914,0,0,0,0,0,14.641288433382138,0,0,0,0,26.056338028169012,0,7.624633431085044,0,0,0,0,16.283348666053357,6.915377616014559,0,,40.91143090608027
Noun,0,0,97.5,0,1.4802631578947367,0,41.079812206572775,9.042553191489361,0,81.6017316017316,7.291666666666666,80.76923076923077,41.21475054229935,2.3557126030624262,54.3859649122807,72.81659388646288,9.44649446494465,7.7067669172932325,0.9693053311793215,0,23.279648609077597,7.057057057057056,0,21.940928270042196,71.23287671232876,3.6971830985915495,4.4468546637744035,4.789833822091887,5.189620758483034,16.09467455621302,7.788944723618091,6.995884773662551,0.36798528058877644,2.820746132848044,82.51578436134045,,23.4313833783903
Other,0,0,2.0454545454545454,0,0,0,0,0,0,0,0,5.06993006993007,0,0,0,0,0,0,0,14.71004243281471,7.320644216691069,0,0,0.5274261603375527,0,0.2640845070422535,0,0,0,0,0.7537688442211055,0,0,1.2738853503184715,0.09713453132588634,,52.28942501183032
Preposition,100.0,100.0,0,0,0,0,0,0,0,0,0.6944444444444444,0,0,83.15665488810366,0,0,8.487084870848708,0,0,0,0,90.69069069069069,0,0,5.365296803652968,0,10.84598698481562,4.007820136852395,0,0,1.7587939698492463,0.205761316872428,82.24471021159154,0,0,,39.135618863796836
Pronoun,0,0,0,0,0,0,24.413145539906104,1.3297872340425532,78.37037037037037,0,0,0,1.9522776572668112,0,0,13.973799126637553,9.96309963099631,0,0,81.8953323903819,0.29282576866764276,0.3003003003003003,0,0,0,0,0,0.2932551319648094,0,12.544378698224854,0,82.51028806584361,0,77.79799818016379,0,,39.47679346763188
Verb,0,0,0.45454545454545453,0,97.03947368421053,0,25.586854460093896,74.60106382978722,0,2.813852813852814,22.22222222222222,3.3216783216783217,1.9522776572668112,7.538280329799763,9.12280701754386,3.711790393013101,2.952029520295203,3.7593984962406015,0.48465266558966075,0.4243281471004243,30.1610541727672,0,96.00570613409417,8.122362869198312,3.9954337899543377,30.98591549295775,38.6117136659436,80.15640273704791,44.41117764471058,66.62721893491126,87.56281407035175,0.205761316872428,1.1039558417663293,0.27297543221110104,4.4681884409907715,,24.80432518422018

Focus,100.0,100.0,97.24334022251011,100.0,98.34188777965124,100.0,49.952995180552335,76.74428219727415,78.94974371856213,81.10491297146231,51.284520479539694,82.32065633156012,63.591607036073064,82.37094897444518,55.093521606838834,73.47866719557864,43.00567232167647,87.26440980673122,98.38979641955814,82.77300708564087,34.45026521465164,90.53054355992249,99.50788074498043,45.51523262870305,72.5910521598877,46.11970092242576,44.55680234919845,79.26198350370993,54.885436047677594,66.58802608512735,87.4973797822547,90.81788477832039,81.85823744089011,80.16318107259991,85.69580436249336

