Class,to,and,CLASS1281,CLASS2480,CLASS2531,CLASS2541,CLASS2555,CLASS2557,CLASS2576,CLASS2577,CLASS2591,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2614,CLASS2615,CLASS2616,CLASS2617,CLASS2619,CLASS2622,CLASS2623,CLASS2624,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,CLASS2632,CLASS2633,,Focus
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0.291970802919708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.663878724516467,0,0,0,0,0,,97.29073943116407

Focus,100.0,100.0,99.20991120338721,100.0,49.54118525489275,99.88174530769099,77.81319173597468,89.37228362403424,79.45092728149163,60.09607065780095,50.62373235706797,75.65801504635198,70.83454896736554,62.090527342856596,46.58621778482425,53.38171630952586,53.997154189740584,99.47193922647907,58.18273095121428,73.84167202065969,42.69489137968641,68.60351346124115,64.55377848246074,61.07426457667633,64.08369770451576,61.55628483386091,35.75608764376653,99.23886423841178,39.932580583823096,90.90219461335998,49.96383921222764,48.626969626891366,48.65414518923017,56.46987970408841

Adjective,0,0,0,0,4.553734061930784,0,2.1231422505307855,0,6.41025641025641,4.954128440366973,2.717391304347826,8.058608058608058,17.51824817518248,1.956521739130435,13.516896120150186,13.006993006993007,42.31404958677686,0,9.667673716012084,1.1207970112079702,2.5527192008879025,64.87549148099606,6.226175349428208,0,8.858447488584476,0,5.658198614318707,0,0.36591740721380034,0.9153318077803204,1.2006861063464835,4.700460829493087,4.90405117270789,6.9373942470389185,,32.15238712289625
Adverb,0,0,0,0,1.8214936247723135,0,1.6985138004246285,0.42016806722689076,3.9886039886039883,2.7522935779816518,0.7246376811594203,6.41025641025641,1.605839416058394,3.4782608695652173,41.05131414267834,0.6993006993006993,0.3305785123966942,0,0,0.37359900373599003,2.4417314095449503,20.70773263433814,1.3977128335451081,11.827956989247312,19.17808219178082,0.17211703958691912,23.21016166281755,0,28.48928384736017,0.2288329519450801,10.005717552887363,20.737327188940093,6.609808102345416,1.7766497461928934,,27.571250244554147
Conjunction,0,100.0,0,0,0,0,0,1.5406162464985995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.147935180345009,0,4.459691252144083,0,0,0,,86.8897052533535
Determiner,0,0,0,100.0,0,99.88479262672811,0,0,0,0,0,75.0915750915751,0,1.6304347826086956,2.8785982478097623,0,0,0,0,0,0,0,0,0,0,5.59380378657487,1.5011547344110854,0,0,0,0,1.0138248847926268,0.42643923240938164,0.7614213197969544,,53.54789127679326
GrammarOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.74361820199778,0,0,40.62126642771804,0,6.540447504302927,1.7321016166281753,0,0,0,0,0,3.624733475479744,9.983079526226735,,54.4078476568227
Noun,0,0,0,0,81.4207650273224,0.1152073732718894,3.1847133757961785,2.8011204481792715,2.1367521367521367,78.34862385321101,37.5,6.95970695970696,75.32846715328468,5.869565217391305,14.518147684605758,73.986013986014,51.900826446280995,0,88.97280966767372,0.9962640099626401,14.872364039955606,7.994757536041939,84.75222363405337,0,7.123287671232876,0.4302925989672977,11.662817551963048,0.6674082313681868,11.082070047046525,1.4874141876430205,8.976558033161808,57.05069124423964,7.889125799573561,62.09813874788494,,22.853877530382476
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21739130434782608,0,0,0,0,0,0,0.9988901220865706,0,0,0,1.2785388127853883,0,0,0,0,0,0.34305317324185247,5.069124423963134,0.31982942430703626,11.252115059221659,,62.54144151539318
Preposition,100.0,0,99.22928709055877,0,0,0,1.6985138004246285,3.9215686274509802,78.34757834757835,0,0,0,0,0,0.5006257822277848,0,0,0,0,0.8717310087173101,26.082130965593787,0,0,0,0.182648401826484,25.21514629948365,0,0,25.457396759017247,91.07551487414187,6.689536878216123,0,0,0,,38.346380549182946
Pronoun,0,0,0,0,0,0,0,0,0,0,42.028985507246375,0,0,0,0.37546933667083854,0,1.487603305785124,97.47474747474747,0,0,0.22197558268590456,0,0,0,60.54794520547945,62.048192771084345,1.1547344110854503,89.21023359288098,7.1615263983272355,0,6.0606060606060606,0,0,0,,41.72562661939348
Verb,0,0,0.7707129094412332,0,8.561020036429872,0,89.38428874734608,87.67507002801122,7.549857549857551,4.770642201834862,14.130434782608695,2.7472527472527473,1.4598540145985401,85.43478260869566,25.28160200250313,5.874125874125874,1.15702479338843,0.5050505050505051,0.3021148036253776,91.53175591531756,20.19977802441732,4.325032765399738,4.447268106734435,29.98805256869773,1.36986301369863,0,50.34642032332564,0,2.0909566126502876,6.292906178489703,61.17781589479703,10.138248847926267,70.1492537313433,3.7225042301184437,,25.865494669204338

Focus,100.0,100.0,99.1466109405063,100.0,83.29956327052564,99.87205743585325,90.21633019705651,90.1026808945258,77.87241689569309,85.03440162549326,53.593977487310305,73.68625807265292,78.22381991081716,85.40396406062429,45.11541277337152,78.0725977444785,64.5590815526872,99.42858197719042,89.32979405697527,96.07514261642962,38.81964421347741,66.03562870039515,86.45181279467882,57.32164480499199,60.471261195288406,62.893779054823774,53.530474334544984,99.17766315260505,40.172396025133125,90.29244262435469,58.83378481717699,57.12923472342513,72.57817334257774,61.928663528430825

