Class,to,CLASS1215,CLASS2474,CLASS2481,CLASS2524,CLASS2551,CLASS2554,CLASS2565,CLASS2579,CLASS2587,CLASS2593,CLASS2594,CLASS2598,CLASS2601,CLASS2603,CLASS2604,CLASS2605,CLASS2606,CLASS2610,CLASS2611,CLASS2612,CLASS2613,CLASS2614,CLASS2615,CLASS2617,CLASS2618,CLASS2621,CLASS2623,CLASS2624,CLASS2625,CLASS2626,CLASS2627,CLASS2628,CLASS2629,CLASS2630,CLASS2631,,Focus

Focus,100.0,99.20991120338721,100.0,90.67294172750066,100.0,76.35700005706278,83.98216620892568,98.6336038242778,30.851931563462177,75.79668760020897,40.28537423791991,46.71910195325611,72.22634902605925,56.79133800291226,80.59220631223069,98.34706182254192,84.20003177896054,46.709927516133895,35.669695007902305,61.103944575861426,62.33071006418047,97.1319914277325,91.36597688492684,49.21704713740461,45.43470852524837,53.09153863356427,56.19992991124234,58.560034444138346,38.96930511670442,57.29891321393299,76.29253680098277,54.28147492145242,47.88777455273993,99.23886423841178,33.95190243635058,67.62191918936354

Adjective,0,0.3853564547206166,0,0,0,1.2875536480686696,9.213051823416507,0,6.666666666666667,0,6.726457399103139,23.029556650246306,0.4195804195804196,1.4414414414414414,0.20100502512562815,0.3763440860215054,0,10.625909752547306,6.536856745479833,9.621289662231321,5.889724310776941,0.21551724137931033,0.7575757575757576,30.081300813008127,2.826510721247563,15.92442645074224,0.6417112299465241,0.2254791431792559,6.83311432325887,43.959243085880644,0,1.9157088122605364,11.38888888888889,0,0.36855036855036855,3.975903614457831,,28.287726439560245
Adverb,0,0,0,0,0,2.1459227467811157,1.5355086372360844,0,14.523809523809524,0.43859649122807015,25.112107623318387,1.354679802955665,2.3776223776223775,0.36036036036036034,0.5025125628140703,0,0,19.65065502183406,26.842837273991655,2.149437052200614,1.6290726817042605,0,0.30303030303030304,43.577235772357724,3.1189083820662766,0,17.326203208556148,16.57271702367531,5.124835742444152,12.081513828238718,0.23014959723820483,1.1494252873563218,23.61111111111111,0,32.678132678132684,1.4457831325301205,,26.40530452421739
Conjunction,0,0,0,0,99.79013641133263,0,0,0,0,0,0,0,0,0,1.105527638190955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74938574938575,0,,89.59896790333659
Determiner,0,0,100.0,0,0,0,0,0,0,0,0.8968609865470852,0,0,0,0,98.38709677419355,1.272984441301273,0,5.4242002781641165,0,0,0,0,0,0,0,0,0,29.303547963206306,0,7.479861910241657,0,0,0,5.589680589680589,0,,56.20648573170679
GrammarOther,0,0,0,0,0,0,0,0,3.571428571428571,0,0,0,0,36.57657657657658,0,0,0,0,0,12.077789150460594,0,0,0,12.032520325203253,3.313840155945419,0,0,38.331454340473506,0,0,8.745684695051784,0,0,0,0,0,,47.082716669187896
Noun,0,0,0,97.16599190283401,0,1.2875536480686696,0.7677543186180422,1.3353115727002967,13.809523809523808,0.8771929824561403,35.874439461883405,62.80788177339902,5.454545454545455,11.711711711711711,2.7135678391959797,0.6451612903225806,0,7.132459970887918,22.67037552155772,67.86079836233368,82.33082706766916,1.0775862068965516,7.121212121212121,6.829268292682927,8.771929824561402,73.95411605937922,7.4866310160427805,0,31.143232588699078,38.646288209606986,0.5753739930955121,16.47509578544061,54.81481481481481,0.6674082313681868,14.926289926289925,84.33734939759036,,22.947522565327965
Other,0,0,0,1.8218623481781375,0,0,0,0,0,0,1.1210762331838564,5.0492610837438425,0.27972027972027974,0,0.6030150753768844,0,14.71004243281471,0,1.2517385257301807,0,0,0,0,0,0,3.913630229419703,0.32085561497326204,0,0,0,0,0,0,0,0.85995085995086,0,,52.46417406320809
Preposition,100.0,99.22928709055877,0,0,0,6.223175965665236,81.7658349328215,0,0,1.023391812865497,0,0,0,43.42342342342342,8.241206030150753,0,0,0,0,0,0,97.19827586206897,90.6060606060606,0,8.674463937621832,0,2.2459893048128343,0,0,0.2911208151382824,0,0,0,0,7.862407862407863,0,,36.16641205788245
Pronoun,0,0,0,0,0,0,0,98.3679525222552,0,0,0.672645739910314,0,0,0,0,0,81.8953323903819,0,0.5563282336578581,0,0,0,0.30303030303030304,0,0.7797270955165692,0,0.9625668449197862,0,13.66622864651774,0,82.96892980437285,29.88505747126437,0,89.21023359288098,8.292383292383294,0,,41.46233413612382
Verb,0,0.3853564547206166,0,0.4048582995951417,0,87.55364806866953,4.222648752399232,0,53.8095238095238,92.98245614035088,27.130044843049326,4.556650246305418,89.93006993006993,5.405405405405405,78.19095477386934,0.5913978494623656,0.4243281471004243,62.00873362445415,30.598052851182196,3.5823950870010233,7.268170426065163,1.5086206896551726,0,6.504065040650406,67.5438596491228,1.8893387314439947,69.51871657754012,28.29763246899662,11.300919842312746,2.547307132459971,0,49.169859514687104,7.222222222222221,0,2.7027027027027026,4.578313253012049,,23.348861335693524

Focus,100.0,99.14494672893441,100.0,97.52765803041072,100.0,87.87185581241226,82.61923563142327,98.52089586361214,57.06149091729436,97.28215397248404,45.212351422245014,65.21318464068612,90.54714088375304,52.35114079814832,84.23061859284518,98.21138444437358,82.77300708564087,61.88378804461438,41.458694505484246,69.54779160706643,83.5481518381432,96.90194589640454,90.75730403844705,48.278499432121166,68.74196969285408,76.53373474413789,69.56004588724645,54.32626653035362,38.54678254889012,55.40142228452925,81.76295461021952,54.67242021508979,57.505059488968676,99.17766315260505,37.00284407066833,88.41806290546636

